run_dir,rho_inflation_percentage,w_skip_degradation_factor,coverage_factor,30s_reading_speed,30s_skip_rate,30s_regression_rate,60s_reading_speed,60s_skip_rate,60s_regression_rate,90s_reading_speed,90s_skip_rate,90s_regression_rate,loss_type,loss_total,loss_reading_speed,loss_skip_rate,loss_regression_rate
simulation_data/rho_0.290__w_1.000__cov_0.10,0.29,1.0,0.1,210.66666666666666,0.6335728490999891,0.6665575167429302,185.44444444444446,0.6451178399639191,0.5464212182828813,183.62962962962965,0.6417064459942875,0.6781919223180685,sse,842.6085727966914,842.2037718245543,0.2722080963944653,0.13259287574256529
simulation_data/rho_0.290__w_1.000__cov_2.10,0.29,1.0,2.1,195.33333333333334,0.6753252466394664,0.2851748217655354,194.88888888888889,0.6481909456662954,0.5706733511689771,183.1851851851852,0.6393328569697411,0.6776347874357345,sse,854.8607612263838,854.5488098248793,0.294534203938064,0.017417197566488983
simulation_data/rho_0.300__w_0.800__cov_0.00,0.3,0.8,0.0,210.0,0.455842400597715,0.6722994243571647,188.33333333333334,0.44422350145249445,0.5388687037790468,182.29629629629628,0.4576093485659655,0.6287072048668195,sse,861.9812284949074,861.8111962311746,0.04058503906291158,0.1294472246701754
simulation_data/rho_0.290__w_0.800__cov_0.90,0.29,0.8,0.9,206.44444444444446,0.4994384813122879,0.44117236265084847,187.55555555555554,0.45485861881237294,0.479388672170939,186.14814814814815,0.4601517718724918,0.6339777170919818,sse,864.860026204696,864.7919623290765,0.05149428575621759,0.016569589863412913
simulation_data/rho_0.290__w_0.780__cov_1.40,0.29,0.78,1.4,202.66666666666666,0.4562379640482358,0.2873124328577172,191.0,0.4228732129866255,0.478468332191238,185.40740740740742,0.4180636641428161,0.6248960978023328,sse,866.1338090880076,866.1058067721043,0.025799992849613547,0.002202323053780985
simulation_data/rho_0.290__w_0.980__cov_1.80,0.29,0.98,1.8,195.33333333333334,0.6610953461850498,0.30191443571810955,196.88888888888889,0.6115655598557532,0.5663903928424617,180.5925925925926,0.624901178886889,0.6677011107593022,sse,869.5760387638015,869.3070243407913,0.25487986954730796,0.014134553462966042
simulation_data/rho_0.300__w_0.800__cov_2.50,0.3,0.8,2.5,203.55555555555554,0.4951859827468822,0.19442585414767893,193.0,0.45556501867881466,0.49874415099605685,182.74074074074076,0.4535892152995891,0.6294929091968717,sse,870.3871791014141,870.3206555853467,0.04886116412647,0.01766235194083705
simulation_data/rho_0.290__w_0.860__cov_1.20,0.29,0.86,1.2,201.11111111111111,0.5377764798389093,0.3465846828852888,193.11111111111111,0.5233617745344099,0.51912497834917,184.0,0.5145778695067763,0.6480384168995157,sse,870.6528614431802,870.5438611648663,0.10328789676147763,0.005712381552419009
simulation_data/rho_0.290__w_0.880__cov_0.90,0.29,0.88,0.9,205.77777777777777,0.5671385745838956,0.471215551893486,194.77777777777777,0.5379291111601359,0.5315545286284444,178.14814814814815,0.5409490769458798,0.6400809044532321,sse,871.1373434473411,870.9788368111305,0.13023997181033878,0.02826666440019691
simulation_data/rho_0.290__w_0.940__cov_1.80,0.29,0.94,1.8,199.11111111111111,0.6162602605080164,0.29043002376657745,195.33333333333334,0.5679002788542973,0.5487431080126239,182.14814814814815,0.5786575002983901,0.6587367019197136,sse,877.3875089106273,877.1944824625202,0.18247603665493933,0.010550411452051416
simulation_data/rho_0.300__w_0.800__cov_3.00,0.3,0.8,3.0,207.11111111111111,0.4949101049756057,0.14197450685723367,191.66666666666666,0.4461952228926017,0.4983461169643087,181.92592592592592,0.4385595827192767,0.6328484805008587,sse,879.9847303572486,879.9085946431644,0.042315162102632864,0.0338205519814855
simulation_data/rho_0.300__w_0.900__cov_1.00,0.3,0.9,1.0,208.22222222222223,0.5613675806435316,0.45720855210886735,193.33333333333334,0.5565530810521633,0.5302648963814875,178.2962962962963,0.5605920446631111,0.6416613881939521,sse,880.9563402958079,880.7860267702629,0.14607261945616634,0.024240906088765272
