sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences,pred_class
3,3,became,became,3,,6,47.75,1.6789733759197651,0.8473660567345666,0.0,-2.5530000000000004,0.45454545454545453,0.2727272727272727,11,Class 1
3,4,an,an,4,,2,1864.1399999999996,3.2704785254773365,0.7026837704111513,0.0,-2.5530000000000004,0.9090909090909091,0.2727272727272727,11,Class 1
3,5,engineer,engineer,5,,8,11.69,1.06781451116184,0.902925953530742,0.0,-2.5530000000000004,0.5454545454545454,0.2727272727272727,11,Class 1
3,6,with,with,6,,4,5048.330000000001,3.7031477361914535,0.6633502058007769,0.0,-2.5530000000000004,0.5454545454545454,0.09090909090909091,11,Class 1
3,7,the,the,7,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.9090909090909091,0.2727272727272727,11,Class 1
3,8,edison,Edison,8,,6,2.39,0.37839790094813763,0.9656001908228966,0.0,-2.5530000000000004,0.6363636363636364,0.09090909090909091,11,Class 1
3,9,illuminating,Illuminating,9,,12,0.4699999999999998,-0.32790214206428253,1.0298092856422072,0.0,-2.5530000000000004,0.45454545454545453,0.2727272727272727,11,Class 1
3,10,company,"Company,",10,,7,147.20000000000002,2.16790781000148,0.8029174718180474,0.0,-2.5530000000000004,0.6363636363636364,0.18181818181818182,11,Class 1
3,11,and,and,11,,3,13387.839999999998,4.126710513400981,0.624844498781729,0.0,-2.5530000000000004,0.5454545454545454,0.18181818181818182,11,Class 1
3,12,after,after,12,,5,682.59,2.834159921539118,0.7423490980418986,0.0,-2.5530000000000004,0.5454545454545454,0.2727272727272727,11,Class 1
3,13,his,his,13,,3,2124.7799999999997,3.3273139698064678,0.6975169118357755,0.0,-2.5530000000000004,0.8181818181818182,0.09090909090909091,11,Class 1
3,14,promotion,promotion,14,,9,10.92,1.0382226383687188,0.905616123784662,0.0,-2.5530000000000004,0.5454545454545454,0.09090909090909091,11,Class 1
3,15,to,to,15,,2,22677.84,4.3556016868719265,0.6040362102843703,0.0,-2.5530000000000004,0.9090909090909091,0.18181818181818182,11,Class 1
3,16,chief,Chief,16,,5,77.89999999999999,1.8915374576725648,0.8280420493024944,0.0,-2.5530000000000004,0.5454545454545454,0.18181818181818182,11,Class 1
3,17,engineer,Engineer,17,,8,11.69,1.06781451116184,0.902925953530742,0.0,-2.5530000000000004,0.18181818181818182,0.0,11,Class 1
3,18,in,in,18,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.9090909090909091,0.0,11,Class 1
3,19,1893,"1893,",19,,4,1.0,0.0,1.0,0.0,-2.5530000000000004,0.6363636363636364,0.6363636363636364,11,Class 1
3,20,he,he,20,,2,7637.199999999998,3.882934163885179,0.6470059851013473,0.0,-2.5530000000000004,0.9090909090909091,0.18181818181818182,11,Class 1
3,21,had,had,21,,3,1675.9200000000003,3.2242532837526237,0.706886065113398,0.0,-2.5530000000000004,0.45454545454545453,0.09090909090909091,11,Class 1
3,22,enough,enough,22,,6,501.33,2.7001236939300726,0.7545342096427207,0.0,-2.5530000000000004,0.2727272727272727,0.09090909090909091,11,Class 1
3,23,time,time,23,,4,1958.6300000000008,3.291952402235151,0.7007315997968044,0.0,-2.5530000000000004,0.45454545454545453,0.09090909090909091,11,Class 1
3,24,and,and,24,,3,13387.839999999998,4.126710513400981,0.624844498781729,0.0,-2.5530000000000004,0.5454545454545454,0.09090909090909091,11,Class 1
3,25,money,money,25,,5,640.7600000000001,2.8066953927118097,0.7448458733898355,0.0,-2.5530000000000004,0.45454545454545453,0.18181818181818182,11,Class 1
3,26,to,to,26,,2,22677.84,4.3556016868719265,0.6040362102843703,0.0,-2.5530000000000004,0.36363636363636365,0.0,11,Class 1
3,27,devote,devote,27,,6,1.9600000000000006,0.29225607135647597,0.9734312662403203,0.0,-2.5530000000000004,0.18181818181818182,0.09090909090909091,11,Class 1
3,28,attention,attention,28,,9,98.66999999999999,1.9941851282023177,0.8187104428906984,0.0,-2.5530000000000004,0.0,0.2727272727272727,11,Class 1
3,29,to,to,29,,2,22677.84,4.3556016868719265,0.6040362102843703,0.0,-2.5530000000000004,0.6363636363636364,0.0,11,Class 1
3,30,his,his,30,,3,2124.7799999999997,3.3273139698064678,0.6975169118357755,0.0,-2.5530000000000004,0.45454545454545453,0.0,11,Class 1
3,31,personal,personal,31,,8,91.66999999999997,1.9622272313500846,0.8216157062409016,0.0,-2.5530000000000004,0.2727272727272727,0.36363636363636365,11,Class 1
3,32,experiments,experiments,32,,11,6.570000000000001,0.8175653695597809,0.9256758754945656,0.0,-2.5530000000000004,0.09090909090909091,0.2727272727272727,11,Class 1
3,33,on,on,33,,2,6955.729999999997,3.8423427156846257,0.6506961167559432,0.0,-2.5530000000000004,0.7272727272727273,0.2727272727272727,11,Class 1
3,34,internal,internal,34,,8,9.840000000000002,0.9929950984313417,0.9097277183244235,0.0,-2.5530000000000004,0.2727272727272727,0.36363636363636365,11,Class 1
3,35,combustion,combustion,35,,10,1.25,0.09691001300805645,0.9911899988174493,0.0,-2.5530000000000004,0.0,0.18181818181818182,11,Class 1
3,36,engines,engines.,36,,7,10.650000000000002,1.0273496077747564,0.9066045811113859,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
4,0,these,These,0,,5,904.0,2.956168430475363,0.7312574154113306,0.0,-2.5530000000000004,0.0,0.09090909090909091,11,Class 1
4,1,experiments,experiments,1,,11,6.570000000000001,0.8175653695597809,0.9256758754945656,0.0,-2.5530000000000004,0.18181818181818182,0.18181818181818182,11,Class 1
4,2,culminated,culminated,2,,10,0.09999999999999999,-1.0,1.0909090909090906,0.0,-2.5530000000000004,0.18181818181818182,0.09090909090909091,11,Class 1
4,3,in,in,3,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.7272727272727273,0.0,11,Class 1
4,4,1896,1896,4,,4,1.0,0.0,1.0,0.0,-2.5530000000000004,0.18181818181818182,0.36363636363636365,11,Class 1
4,5,with,with,5,,4,5048.330000000001,3.7031477361914535,0.6633502058007769,0.0,-2.5530000000000004,0.6363636363636364,0.2727272727272727,11,Class 1
4,6,the,the,6,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.7272727272727273,0.0,11,Class 1
