section,metric,metric_label,source,source_label,condition,comparison,n,mean,sd,sem,test,df1,df2,statistic,p,effect_size,effect_size_name,value_unit,values_source
inferential,skip_rate,Skip rate,human,Human,,60s_vs_90s,56,,,,welch_t_test,,53.99211613177218,0.43529662020190346,0.6650823349061146,0.11633791531544163,cohens_d,participant,
descriptive,skip_rate,Skip rate,simulation,Simulation,30s,,9,0.39363747327833404,0.03494897850863027,0.011649659502876756,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,simulation,Simulation,60s,,9,0.32832209694486025,0.02962125523636585,0.009873751745455283,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,simulation,Simulation,90s,,9,0.3268998032356246,0.03561857816576995,0.011872859388589984,,,,,,,,episode_stimulus,
inferential,skip_rate,Skip rate,simulation,Simulation,,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,11.655170393644772,0.000290443715574363,0.49271132694001135,eta_squared,episode_stimulus,
inferential,skip_rate,Skip rate,simulation,Simulation,,30s_vs_60s,18,,,,welch_t_test,,15.581407000076803,4.277066490973244,0.0006106010886021055,2.0162284795686216,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,simulation,Simulation,,30s_vs_90s,18,,,,welch_t_test,,15.994240753029064,4.012200815725954,0.0010065437711284332,1.8913696028546798,cohens_d,episode_stimulus,
inferential,skip_rate,Skip rate,simulation,Simulation,,60s_vs_90s,18,,,,welch_t_test,,15.485293870740431,0.09210546027271053,0.9277952643051559,0.043418930362094516,cohens_d,episode_stimulus,
descriptive,skip_rate,Skip rate,full_memory,Sim with unlimited memory,30s,,9,0.3847390242329205,0.028053592366545508,0.00935119745551517,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,full_memory,Sim with unlimited memory,60s,,9,0.3329993477318782,0.034833545792500274,0.011611181930833424,,,,,,,,episode_stimulus,
descriptive,skip_rate,Skip rate,full_memory,Sim with unlimited memory,90s,,9,0.3127706517644819,0.040902734103898115,0.013634244701299371,,,,,,,,episode_stimulus,
inferential,skip_rate,Skip rate,full_memory,Sim with unlimited memory,,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,10.125563837483137,0.0006478027542515306,0.4576409402199882,eta_squared,episode_stimulus,
inferential,skip_rate,Skip rate,full_memory,Sim with unlimited memory,,30s_vs_60s,18,,,,welch_t_test,,15.304692822541162,3.4704733715710336,0.0033373657466522644,1.635996836643479,cohens_d,episode_stimulus,
